,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
3,103,LAR,Ernest Jones,LB,21,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,19,1,0.5,South Carolina,College Stats
3,104,BAL,Brandon Stephens,CB,23,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,28,,,SMU,College Stats
3,105,DEN,Baron Browning,LB,22,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,14,,,Ohio St.,College Stats
4,106,JAX,Jay Tufele,DL,22,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats
4,107,NYJ,Michael Carter,RB,22,2021,0,0,0,0,0,10,0,0,0,0,0,111,430,4,32,308,0,,,,North Carolina,College Stats
4,108,ATL,Darren Hall,CB,21,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,,1,San Diego St.,College Stats
4,109,TEN,Dez Fitzpatrick,WR,23,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,49,1,1,,,Louisville,College Stats
4,110,CLE,James Hudson,OL,22,2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,Cincinnati,College Stats
4,111,CIN,Cameron Sample,DE,21,2021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,,1,Tulane,College Stats
4,112,DET,Amon-Ra St. Brown,WR,21,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,39,352,0,1,,,USC,College Stats
4,113,DET,Derrick Barnes,DE,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,26,,,Purdue,College Stats
4,114,ATL,Drew Dalman,C,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats
4,115,DAL,Jabril Cox,LB,23,2021,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,,,LSU,College Stats
4,116,NYG,Elerson Smith,DL,23,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,Northern Iowa,
4,117,LAR,Bobby Brown,DL,21,2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
4,118,LAC,Chris Rumph,DE,22,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,,,Duke,College Stats
4,119,MIN,Kene Nwangwu,RB,23,2021,0,0,0,0,0,5,0,0,0,0,0,2,16,0,0,0,0,,,,Iowa St.,College Stats
4,120,NWE,Rhamondre Stevenson,RB,23,2021,0,0,0,0,0,8,0,0,0,0,0,76,351,3,12,117,0,,,,Oklahoma,College Stats
4,121,JAX,Jordan Smith,OLB,23,,0,0,0,,,,,,,,,,,,,,,,,,Ala-Birmingham,College Stats
4,122,CIN,Tyler Shelvin,DT,23,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats
4,123,PHI,Zech McPhearson,DB,23,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,,,Texas Tech,College Stats
4,124,WAS,John Bates,TE,23,2021,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9,74,0,1,,,Boise St.,College Stats
4,125,MIN,Camryn Bynum,CB,23,2021,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,1,1,California,College Stats
4,126,CAR,Chuba Hubbard,RB,22,2021,0,0,0,0,0,12,0,0,0,0,0,122,427,3,19,152,0,,,,Oklahoma St.,College Stats
4,127,IND,Kylen Granson,TE,23,2021,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,94,0,,,,SMU,College Stats
4,128,PIT,Dan Moore,OL,22,2021,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats
4,129,TAM,Jaelon Darden,WR,22,2021,0,0,0,0,0,6,0,0,0,0,0,1,11,0,6,43,0,,,,North Texas,College Stats
